Loss_Name,Category,Is_Default_Setting,Can_Init_NoArgs,Arguments,Init_Error_Note
MAE,Point (点予測),✅,✅,horizon_weight=None,
BaseISQF,Point (点予測),,❌,"spline_knots=REQUIRED, spline_heights=REQUIRED, beta_l=REQUIRED, beta_r=REQUIRED, qk_y=REQUIRED, qk_x=REQUIRED, tol=0.0001, validate_args=False","BaseISQF.__init__() missing 6 required positional arguments: 'spline_knots', 'spline_heights', 'beta_l', 'beta_r', 'qk_y', and 'qk_x'"
DistributionLoss,Probabilistic (分布),,❌,"distribution=REQUIRED, level=[80, 90], quantiles=None, num_samples=1000, return_params=False, horizon_weight=None, distribution_kwargs=REQUIRED",DistributionLoss.__init__() missing 1 required positional argument: 'distribution'
HuberQLoss,Point (点予測),,❌,"q=REQUIRED, delta=1.0, horizon_weight=None",HuberQLoss.__init__() missing 1 required positional argument: 'q'
ISQF,Point (点予測),,❌,"spline_knots=REQUIRED, spline_heights=REQUIRED, beta_l=REQUIRED, beta_r=REQUIRED, qk_y=REQUIRED, qk_x=REQUIRED, loc=REQUIRED, scale=REQUIRED, validate_args=None","ISQF.__init__() missing 8 required positional arguments: 'spline_knots', 'spline_heights', 'beta_l', 'beta_r', 'qk_y', 'qk_x', 'loc', and 'scale'"
MASE,Point (点予測),,❌,"seasonality=REQUIRED, horizon_weight=None",MASE.__init__() missing 1 required positional argument: 'seasonality'
QuantileLayer,Probabilistic (分位点),,❌,"num_output=REQUIRED, cos_embedding_dim=128",QuantileLayer.__init__() missing 1 required positional argument: 'num_output'
QuantileLoss,Probabilistic (分位点),,❌,"q=REQUIRED, horizon_weight=None",QuantileLoss.__init__() missing 1 required positional argument: 'q'
Tweedie,Point (点予測),,❌,"log_mu=REQUIRED, rho=REQUIRED, validate_args=None",Tweedie.__init__() missing 2 required positional arguments: 'log_mu' and 'rho'
Accuracy,Point (点予測),,✅,,
BasePointLoss,Point (点予測),,✅,"horizon_weight=None, outputsize_multiplier=None, output_names=None",
GMM,Probabilistic (分布),,✅,"n_components=1, level=[80, 90], quantiles=None, num_samples=1000, return_params=False, batch_correlation=False, horizon_correlation=False, weighted=False",
HuberIQLoss,Probabilistic (分位点),,✅,"cos_embedding_dim=64, concentration0=1.0, concentration1=1.0, delta=1.0, horizon_weight=None",
HuberLoss,Point (点予測),,✅,"delta=1.0, horizon_weight=None",
HuberMQLoss,Probabilistic (分位点),,✅,"level=[80, 90], quantiles=None, delta=1.0, horizon_weight=None",
IQLoss,Probabilistic (分位点),,✅,"cos_embedding_dim=64, concentration0=1.0, concentration1=1.0, horizon_weight=None",
MAPE,Point (点予測),,✅,horizon_weight=None,
MQLoss,Probabilistic (分位点),,✅,"level=[80, 90], quantiles=None, horizon_weight=None",
MSE,Point (点予測),,✅,horizon_weight=None,
NBMM,Point (点予測),,✅,"n_components=1, level=[80, 90], quantiles=None, num_samples=1000, return_params=False, weighted=False",
PMM,Point (点予測),,✅,"n_components=10, level=[80, 90], quantiles=None, num_samples=1000, return_params=False, batch_correlation=False, horizon_correlation=False, weighted=False",
RMSE,Point (点予測),,✅,horizon_weight=None,
SMAPE,Point (点予測),,✅,horizon_weight=None,
TukeyLoss,Point (点予測),,✅,"c=4.685, normalize=True",
relMSE,Point (点予測),,✅,"y_train=None, horizon_weight=None",
sCRPS,Point (点予測),,✅,"level=[80, 90], quantiles=None",
